Course,Credit Hours,Prerequisite,Corequisite
MATH101,4,None,None
IAS 121,2,None,None
PE 101,1,None,None
ICS 104,3,None,None
PHYS 101,4,None,MATH 101
ENGL 101,3,None,None
MATH102,4,MATH101,None
IAS 111,2,None,None
ICS 108,4,ICS 104,None
PHYS 102,4,PHYS 101,None
ENGL 102,3,ENGL 101,None
MATH 208,3,MATH 102,None
MATH 201,3,MATH 102,None
ISE 291,3,ICS 104;MATH 102,None
COE 292,3,ISE 291,None
SWE 206,3,ICS 108,None
ICS 253,3,ICS 104,None
ICS 202,4,ICS 108,None
COE 202,3,PHYS 102,COE 203
COE 203,1,None,COE 202
COE 301,4,COE 202;ICS 104,None
CHEM 101,4,None,None
STAT 319,3,MATH 102,ICS 381
IAS 212,2,IAS 111,None
ICS 381,3,ICS 253,STAT 319
SWE 363,3,None,None
ICS 321,3,ICS 202,None
ICS 353,3,ICS 202;ICS 253,None
ICS 343,4,ICS 108,None
ICS 344,3,ICS 343,None
ENGL 214,3,ENGL 102,None
CGS 392,1,ENGL 214,None
BUS 200,3,None,None
ICS 399,0,ENGL 214;ICS 321;SWE 206;SWE 363,None
ICS 410,3,ICS 202,None
ICS 411,3,ICS 399,None
ICS 433,3,COE 301,None
